Song,Album,Release_Date,Lyrics
"14, 400 Minutes",10 Day,4/3/2012,"Yep, igh! igh! igh!I got suspended, ooohh you got suspended For chiefin' a hunnid blunts, 14,400 minutes Fans all in the stands, they hands for Mr. Bennett That racket over the net, ooohh give me my tennis Shoes, give me a minute, ooohh I can't be tardy My class is already started, they told my mom I'm retarded But that 10 Day done in one night, Honda from a Hyundai No tassel in the spring, but after summer I'm alumni They took my nigga one night, and I was standing right there An inch away from Heaven, a million songs from right here A step away from South by, a swing away from Cali A hook away from verses, I'm a dad away from rapping So at the school they arrested him Back seat, squad car, nestled in Shouts to the bitch nigga Heselton Wit' his Big Show body ass wrestlin' Finna see the 10 Day Pestilence So far, so good, so special and No stars, good jobs, or excellents And I'm still so fucking non-echelon Ooohh you got suspended, ooohh you not gon' finish Ooohh you look familiar, ooohh you look like Kenneth Damn they gon' resent it, ooohh you representin'A class of bad kids, 14,400 minutes, ahhh!IGH! IGH! IGH! IGH! IGH! IGH! IGH! IGH! (Ayy)"
Missing You,10 Day,4/3/2012,"In the real world, we just people with ideasIn the real world, we just people with ideasIn the real world, we just people with ideasIn the real world, we just people with ideasThat shit cray, that shit dead, that shit fake, blast a kidCassius Clay at his head, atta boy, atta kidI'ma need a napkin, cook 'em upAnd he gon' need a Aspirin, hook him upNiggas was busy scrappin', put 'em upI was too busy rapping, good as fuckNiggas don't act like grown upsWhen niggas don't get to grow upNiggas don't wanna throw handsThat's what made me wanna throw upBut these young gunners ain't nothin' but young stunnersAnd niggas see you as come ups so niggas just wanna run upNiggas asking what up, I said on my soul I'm a hundredMy niggas stay in the low endThe others stay in the hundredsMy daddy throw me the handsMy momma told me to love 'emMy neighbors told me they huntingI hope I make it through summerThey stole one of my niggasI should have seen that one comingMy priest told me it's angels, my niggas told me its nothingI'm thinking about my nigga he thinking before he dieI’m going to war with fate and I’m going to war with GodI'm burning up all the papers cuz all the reporters liedI call him my lil homie he brought him a .45Brown boys are dying, and none of ‘em were for businessAnd all of em' love they mommas, and all of they mommas miss 'emAnd this shit is just stupid, this shit is fucking senselessThe news shouldn't support it, this shit is getting expensiveI don't know why I sleep with my eyes wideHoping that I find youI don't know why I sleep with my eyes wideHoping that I find you(And now for something completely different)And I don't know why I sleep with my eyes wideHoping that I find youAnd hoping that I find youI been hoping that I find youI'm missing youI'm missing youI'm missing youI'm missing youI'm missing you(In the real world, we just people with ideas)(In the real world, we just people with ideas)I'm missing you(In the real world, we just people with ideas)"
Nostalgia,10 Day,4/3/2012,"""He should try enjoying life, rather than spending his time trying to outsmart me. While he's alive, that is""""I know what you're saying but it's not that simple, it's just human nature""""What's that guy doing, I wonder?""I still got orange and white cassette tapesTents where my neighbor came to spectateNiggas that’s tough now used to get little in the darkIt’s all cool now, we’re all little kids at heartAccident prone Chance, y'all remember 'boutThe time I cracked my head open at Auntie Linda’s HouseFrom diapers to outfits to castles to ElmosFrom Santas to Grandmas to Gameboys and cellphonesRocked your world, fourth grade talent showJada and Justin’s birthday magic showGames of tips taking niggas to schoolTwo quarters and I’ll bust your ass at pool, on bullRound here we lose best friends like every weekI like to think we playin a long game of hide and go seekAnd one day maybe I’ma find Terrance and I could lead themKids of the Kingdom singing about freedomHeads down, eyes shut, time to play Seven UpHeads bowed, hands clutched, bottles gone, Heavens upSmiles come through, though my eyes might cryWhen they reminisce over you, my GodLet’s take it back like Indian giversTo Indian burns and Jiminy CricketsTo the smell of Pillsbury on biscuit morningsTo puffy wintercoats and Christmas morningsI used to chill with the kids next doorAnd SpongeBob came around 'bout fourAnd then I’d hang with Bart’s guysAround the bend was Smart GuyFlipping through the picture booksChecking through my archivesRemember the old days, the ones you’ll never get backAt the end of parties, passing around gift bagsNow we blow entire O's at one kick backMY$FITS and mismatch that get off like wrist slaps, uhhHeads down, eyes shut, time to play Seven UpHeads bowed, hands clutched, bottles gone, Heavens upSmiles come through, though my eyes might cryWhen they reminisce over you, my GodWhen they reminisce over you, my GodRemember Jeepers and Odyssey Fun WorldYoung pimpin' like you oughta see one girlMama Jann, mama Charlie, and my mama LisaBooster seat used to boost my kitty, Connie's PizzaAnd every year we made a Christmas listAnd Auntie Linda cooked a Christmas dishAnd all of our grandparents made a Christmas wishLike “Lord, let me see another year like this”, uhhHeads down, eyes shut, time to play Seven UpHeads bowed, hands clutched, bottles gone, Heavens upSmiles come through, though my eyes might cryWhen they reminisce over you, my GodWhen they reminisce over you, my God"
Windows,10 Day,4/3/2012,"This is six blunt rotation musicThis is just got off six month probation musicThis is steppin' on the beachWhen you're too drunk to feel a beatThis that laughing in a condoThrowin' shit down in the streetThis that shouts to the Ave, shouts to the labShouts to the clucks, shouts to the stragsThis for every math class that I ever hadSo fuck you if I failed, and fuck you if I passed!For shitty summaries and bummers in the pastCause some of our teachers act as if summer was for classSome of us is seeing summer, some of us have passedSome of us ain't seeing summer, some of us have passedSo I'm just glad to say I'm sippin' rum up out a glassCause some of us is only sippin' some up off the gravAnd heaven's gates look a lot like prison from the AveWe on the ground yelling, ""Give my nigga back!""[Hook: Akenya Seymour]And I just want to roll with my windows downAnd I just want to roll with my windows down[Verse 2: Alex Wiley]Another weekend full of blunts and brewsToo comfortable, yelling ""Fuck a school""Ain't seen the world before noon in like a month or twoBlunts to the face, bottles to the domeNiggas never need no cupLivin' out dreams, never givin' hopes upRidin' with them Vill niggas, never givin' no fucksIn the game tryna get our feel, tryna get a dealTryna get a millionJust ridin' around with my niggas and themReal white nigga man mean real appealWe go all out 'til we fall outNiggas get called out then hauled outWith the windows down we like to smoke all outDrink 'til I fall out, fuck is you tahm bout boyThe Village is my brothersIt's me, Mikey, Kembe trappin'Hella love for Chance The RapperWe know 10 Day is a classic, on God[Hook: Akenya Seymour & Chance The Rapper]And I just want to roll with my windows downAnd I just want to roll with my windows down[Verse 3: Chance The Rapper]This is for sand in my shoes, shout out to Oak StreetFor the free train rides, shout out to Polk StreetTo the ice cream man you just on hella dirtHow you don't see us can't hear us, you Helen KellerBut I'mma save my dollars for Mary Jane and embellish herInhalin' her, smellin' her, maybe sellin' herYou niggas got cold feet, shouts to Luke HellikerBut that's my homie, my dude be droppin' hella versesSo, shouts to D.O.C. and Nu Tribe tooMan we out this jam, see how new guys doBut its still save money like a couponSo you can catch me off of the Ave gettin' my stoop on[Hook: Akenya Seymour & Chance The Rapper]And I just want to roll with my windows downAnd I just want to roll with my windows down"
Brain Cells,10 Day,4/3/2012,"Here’s a tab of acid for your earYou’re the plastic, I’m the passion and the magic in the airThe flabbergasted avalanche of ambulances nearThe labyrinth of Pan’s Lab is adamantly hereNo assignments, book of rhyming and I’m drawing doodlesI should rhyme rhyme with Ramen NoodlesRamadan, I’m the don of the diamond jewelsFond of finding a way to kindly tell these toddlers toodlesI’m a kamikaze and I’m a kinda cuckooI could write a fucking book, non kamasutralYou niggas goofies, it's a conflict that is kinda crucialCaught you on the 9 in all blue yelling I’m a neutralBut I’ma let the bull pass like matadorsVersus a Minotaur, verse is a metaphorMetamorphoses and I’ma fuckin animorphI used to go to school with Anna Fedele & Danny WhorfRemember I used to bang with the bad ones'Til my grandmama told on her grandsonMama said that I was way too handsomeTo be throwing the hand’s son, breaking walls like SamsonBut I’ma throw a tantrum 'til I’m on every SamsungSanyo and handheld and handgunPlease put ya lighter’s up 'til life is up and light it upAnd slice a cut, the night is young, it’s nice enoughThe nicest blunt, the nicest stuffMy niggas out here trapping a lotI know you think you on, hiding Reggie sacks in your socksI hang with niggas, whole jab in the jock.4’s for 15, yeah my nigga, we be taxing a lotOnly the goofies though, choking on a doobie thoughMy eyes do be low, two be rolled, remember days of the RufioRemember the Days of Chan-Man and the Skeeter ManBrrang dang to Lil' B and bang a-rang to Peter PanIGH! NiggaI burned, I, I bu-, I bu-, I burnedI burned, I, I, I burnedBr-br-br, hahahah[Hook]I burned too many brain cells downTo be worried bout my brain cells now, niggaI burned too many brain cells downTo be worried bout my brain cells now, now now nowI burned too many brain cells downTo be worried bout my brain cells now, IGH!I burned too many brain cells downDown down down down down[Verse 2]Light a joint, or spliff it if you classySplit a swisha witcha nigga if you ask meAin’t no questions hit it vividly and pass meDon’t answer about your problemsOr your issues or your AshleysIt’s a quarter to imminent, ten minutes to infiniteRims, Henny, and reminisce, nostalgia and M&M'sCinnamon tone women and feminine’s getting intimateAll broads is frivolous, homies could get they dividendsIs he illiterate, literal syndicateIllegitimate, idiot, gangbanger affiliateSick twisted prick, sick sadisticSon of a biscuit, man fuck this shitIGH! I burned too many brain cells downI burned, I burned, hahahI burned too many brain cells downBurned too many brain cells down, sing it with me[Hook]I burned too many brain cells downTo be worried bout my brain cells nowI burned too many brain cells downBurned too many brain cells down, no noI burned too many brain cells downTo be worried bout my brain cells now, niggaI burned too many brain cells downBurned too many brain cells downI burned too many brain cells downTo be worried bout my brain cells now, oh noI burned too many brain cells downTo be worried bout my brain cells now, fuck 'emI burned too many brain cells downTo be worried bout my brain cells nowI burned too many brain cells downI burned too many brain cells down"
Long Time,10 Day,4/3/2012,"Well it's been a long time, long time nowSince I've seen you smileI wonder if Gladys smiles when angels bring my name upOr change language and subject change upHer boy’s a long way from red dolls and green rangersThings ain’t been the same since Ms. Patterson called me famousI saw your reflection in a toilet full of vomit waterYou don’t think I felt ya hand on my head yelling “Call his father”But people don’t hear ghosts so how they gon' play meMoney saved me so I’ma do the same thingYou droppin pounds, gettin small on some sick shitLike how you got the drive but don’t know how to use a stick shiftYou better not miss this, overdose, dope and mixesLet ya throat close with a boatload of dope quotes within itBlast off...Dropping tapes 'til I losted count, coughing out bloodDropping weight like I lost an ounceThrowing words and tossing nounsNY traveling I’m Boston bound, bossing 'round homiesAnd talking down to shorties while I’m jotting downNotes to spit to Harlem crownsSurfing through the Harlem crowdsAt the crib I’m falling downYeah, I'm steady crawling 'roundI’m calling out to GodYour little angels falling downSave me from my darkened cloudReach your hands and arms aroundOh non je t'en prie, nous ne sommes pas chez nousOh je t'assure que ce n'est pas graveNon laisse moi!Mais qu'est-ce que tu as aujourd'hui?J'ai que les hommes me dégoûtent. Vous ne pensez qu'à çaWell it’s been a long time, long time nowSince I’ve seen you smileAnd I’ll gamble away my frightAnd I’ll gamble away my timeAnd in a year, a year or soThis will slip into the seaWell it’s been a long time, long time now(Oh it’s, oh it’s been so long)Since I’ve seen you smile(It’s been so long)Said it’s been a long time, long time now, now, nowSaid it’s been a long time, long time nowAnd it’s been a long time, long time now"
22 Offs,10 Day,4/3/2012,"22 Offs...I'm off the nog, I'm off the LokoI'm off that local, I'm on that globalI often had dreams of being locked in my momma's VolvoWatching the garage burn down, I'm off the codoI'm off the top, I'm off some pot, I'm off CirocI'm off a lot, they gave me 10 Days offThat's an awful lot, I was off campus, but the officerTold the office, that he saw me from the parking lotBut it's all good, I'm off thatI'm just finna off his ass, off of the Ave while rocking all blackDip off and hide the garbage bags in the dip spotJust to make sure that I don't get caughtBuying hella bug spray, making sure I get offThey told me go on and rock it, I told them that it's lift offHow all my homies get caught, picked off by a dick copWhy you allowing hiccups, why you just didn't slip off?And now I'm at the precinct, and I'm off of my squareHaving a white cop beat me while he offers me squaresYou gon' torture me yeah? Well that's awfully fairAll for nothing, tryna tweak me like you offering yearsBitch I ain't scared, I'm already hereTell ya partners and ya friends, the next coffin is theirsGuess what bitch, I'm from internal affairsLooking for crooked cops, to tweak so I can offer 'em yearsHave me tweaking, like I'm all full of fear... alright, I'm tweaking"
U Got Me Fucked Up,10 Day,4/3/2012,"Chance The Rapper10 DayStupid ass student, true I got truants in SpanishBeats by Inglish, rap ChanishFluent, can't fly, got flew in, I'm foolin'Adidas influence Nike I do's itCoolin' with Mikey, low-key I rockMags on my bike, Tay like he chuckHockey I puck, Rockie, I freshSaki, my cup like Rocky ""Wassup""Ooh he got two weeks ten with the foolieDoobie sawbuck, school be too huffCaleb my nigga, Fresco my niggaGon head send it up, SAVEMULA too toughThis ain't no game, ain't shit here funnyYou got me fucked up fucking with my moneySaid this ain't no game, ain't shit here funnyYou got me fucked up fucking with my moneyThis ain't no game, ain't shit here funnyYou got me fucked up fucking with my moneySaid this ain't no game, ain't shit here funnyYou got me fucked up fucking with my moneyWavy so wavy, trendin' I'm trendyBending these pennies mommy done gave meBusiness so savvy, savey no spendyDrifty so empty, city so windyMaster champ Chancelor, TrapMan the Chance orVance the bag handler, Bagger VancePants is baggy, Vans rancid, band of bad banditsAbandoned bandanas banned from band practiceSentence so gavel, wordplay so scrabbleChance to split atoms slit Adams applesAdamant Chano rat a tat vandalsHad to have at em' as an exampleThis ain't no game, ain't shit here funnyYou got me fucked up fucking with my moneySaid this ain't no game, ain't shit here funnyYou got me fucked up fucking with my moneyThis ain't no game, ain't shit here funnyYou got me fucked up fucking with my moneySaid this ain't no game, ain't shit here funnyYou got me fucked up fucking with my money"
Family,10 Day,4/3/2012,"Turn the radio up and we can have a good timeGot me feeling like J.J. on Good TimesBack when Thelma had that ass, off the fam goodMy sister said she likes my raps cause it sounds goodTold me not to cut corners, use to cut quartersSitting in the room, on the phone, cooking up ordersTill my pops popped me off, that was family mattersUsed to watch him in the kitchen sipping Sammy AdamsNow I'm rollin', iPhone StolenMama whip with 5 of my guys, 4 holdin'Trying to live our lives like our lives are so goldenGot big shoes to fill like try go bowlingTil we strike out, we just hoping we don't strike out4th quarter, how you gon go and take Mike out?Summertime Chi, I had to pull the bike outRiding getting nice cause it's nice outLet's land in the land where the Famo stayGrind all day til the fam okayIt still warm my heart to hear my grandma prayFor the fam of my friends when my mans go away (x2)Don't wake up, don't wake up, don't wake up too fastDon't make up your mind, you should flake on that classSing all you want, just don't Drake on they assShore you got drive, don't turn fake on they assGood morning, good raps, good morrow, good luckTonight you could blow, tomorrow you suckBizarro, my carro, I borrowed from ChuckA new SLR and Ferrarro deluxeNo money for the meter when I'm parkin' emGassed than a bitch no car with himMarket him, tell him that he's buzzing like a game of operation with ParkinsonsYoung kid rappers, kidnappersYoung whipper snapper that will whip past yaWill get at you, come get at youWanna break ya off, Come Kit-Kat youNow the team work make the dream workGo ahead and send an application if you need workIf it need hurt, then I'mma bring hurtHow you finna see the clouds if you never seen dirtNow you finna play it loud, listen how it's goin downDidn't know the name before bet you niggas know it nowChi-City niggy, made a 50 out a pennyGot some titties at the cribby and the Savemoney with me and we going inGoing all out for them hoes againNow I'm fin to bring the fucking flow and bend it backAnd show it's more to this than rapLove my parents for supporting cause they know I'm finna crackKnow my niggas got my back, got some niggas selling packsBut I'm tryin' to get em cheese so I can get em out the trapNow my figures getting fat, a lot of hoes be tryin' to jackBut I got her on my lap, All she do is make it clap"
Juke Juke,10 Day,4/3/2012,"Chance The Rapper, Caleb10 Day, ohh! Igh!She working that thang, she know she got itLil mama so bad, you know she naughtyHer do it so slow, now watch her take itShe giving a show, now watch her break itBack it up like, ""juke juke"", 3, 4, ""juke juke""Hands on the tracks like ""choo-choo""Can't nobody do it like you doTrue, true, mama sip a little bit of the screw juiceOr a little bit of that Special KAnd throw it in the bowl like fruit loopsHola, mami chulaMami hol'up, mami slow up'Scuse my French, my lingo but I no hable cincoHer girlfriends say they bout it, you know that I'm bilingualAnd Chano gonna mingle, I'm off a couple pintosThe bad hoes out on Saturday, it's church on domingoSo while they out her frontin' go on back it for your mansCause even when your friends actin' funny you gon' dance like(Juke juke juke juke juke juke juke jukeJuke juke juke juke, juke, jukeJuke juke juke juke juke juke juke jukeJuke, juke, juke, juke)Break it downChi-Town break it down, Chi-Town break it downBreak it down, Chi-Town break it downChi-Town break it down, break it downShe working that thang, she know she got itLil mama so bad, you know she naughtyHer do it so slow, now watch her take itShe giving a show, now watch her break itBust it, bust it, wide open, openI been hopin', hopin' shorty goin' goin'She from lowend oh and, went to Kenwood? Me tooNah I'm lyin', she say she got somebody bitch, me tooI hope that that shit do work out manCause this that new 'New Workout Plan'And I'm that dude, you heard boutAnd I hope that get your shirt off and if notKeep on dancin' babe, all I need is that previewPut you on the floor and show them niggas how to freak youSlow whine, slow grindOn time, you can take your own timeBut if I can't hit your ass on timeGotta hit me online, you can't hit my phone line(Juke juke juke juke juke juke juke jukeJuke juke juke juke, juke, jukeJuke juke juke juke juke juke juke jukeJuke, juke, juke, juke)Break it downChi-Town break it down, Chi-Town break it downBreak it down, Chi-Town break it downChi-Town break it down, break it downShe working that thang, she know she got itLil mama so bad, you know she naughtyHer do it so slow, now watch her take itShe giving a show, now watch her break it(Juke juke juke juke juke juke juke jukeJuke juke juke juke, juke, jukeJuke juke juke juke juke juke juke jukeJuke, juke, juke, juke)Break it downChi-Town break it down, Chi-Town break it downBreak it down, Chi-Town break it downChi-Town break it down, break it down(Juke juke juke juke juke juke juke jukeJuke juke juke juke, juke, jukeJuke juke juke juke juke juke juke jukeJuke, juke, juke, juke)Break it downChi-Town break it down, Chi-Town break it downBreak it down, Chi-Town break it downChi-Town break it down, break it down"
