Album,Song,Lyrics
Keith Urban,It's A Love Thing,"Yeah, yeah
Ooh it's a love thing
I been working all day long
And I'm ready to come on home to you
All the other guys roll their eyes
And don't realize it's what I want to do
It's what I want to do
They say I'm wrapped around your finger
But they don't understand
That what we got is more than just a diamond
On your hand
Baby it's a love thing, whoa
Baby it's a love thing, yeah
Sure I could hang around and complain about
The way things ought to be
Yeah there's trouble in the world
But you're the girl
Whose open arms are all I really need
And that's why I come runnin'
To be there by your side
To let 'em call me crazy
But it can't be denied
Baby it's a love thing, whoa
Baby it's a love thing, yeah
And it's not about the same last name
It's not a thing that can be explained
It's how you make me feel inside
And the way you hold me everynight
It's a love thing, whoa
Oh baby, it's a love thing, yeah
He we go now
It's a love thing
They say I'm wrapped around your finger
But they don't understand
That what we got is more than just a diamond
On your hand
Baby it's a love thing, whoa
Oh baby it's a love thing, yeah
Come on it's a love thing, whoa
Oh baby, It's a love thing, yeah
Oh, it's a love thing, whoa
Oh sugar, it's a love thing
No it ain't about no diamond ring
It's a love thing, whoa
Oh baby it's a love thing, yeah
It's a love, it's a love, it's a love thing"
Keith Urban,Where The Blacktop Ends,"Gonna kick off my shoes
And run in bare feet
Where the grass and the dirt and the gravel all meet
Goin' back to the well gonna visit old friends
And feed my soul where the blacktop ends
I'm lookin' down the barrel of Friday night
Ridin' on a river of freeway lights
Goodbye city I'm country bound
'Til Monday rolls around
Gonna kick off my shoes
And run in bare feet
Where the grass and the dirt and the gravel all meet
Goin' back to the well gonna visit old friends
And feed my soul where the blacktop ends
Workin' in the grind is an uphill road
Punchin' that clock and carryin' that load
I bust it all week and then I'm free
The weekend belongs to me
Gonna kick off my shoes
And run in bare feet
Where the grass and the dirt and the gravel all meet
Goin' back to the well gonna visit old friends
And feed my soul where the blacktop ends
Give me some fresh air give me that farm
Give me some time with you in my arms
Far away from the hustle and the pressure and the noise
Gonna kick off my shoes
And run in bare feet
Where the grass and the dirt and the gravel all meet
Goin' back to the well gonna visit old friends
And feed my soul, you betcha
Gonna kick off my shoes
And run in bare feet
Where the grass and the dirt and the gravel all meet
Goin' back to the well gonna visit old friends
And feed my soul where the blacktop ends
Where the blacktop ends
Where the blacktop ends
Where the blacktop ends"
Keith Urban,But For The Grace Of God,"I can hear the neighbors
They're arguin' again
And there hasn't been peace on our street
Since who knows when
I don't mean to listen in
But the shoutin' is so loud
I turn up the radio to drown it out
And silently I say a little prayer
But for the grace of God go I
I must've been born a lucky guy
Heaven only knows how I've been blessed
With the gift of you love
And I look around and all I see
Is your happiness embracing me
Oh Lord I'd be lost
But for the grace of God
I can see that old man
He's walking past our door
And I've been told that he's rich
But he seems so poor
'Cause no one comes to call on him
And his phone it never rings
He wanders through his empty home
Surrounnded by his things
And silently I say a little prayer, yes I do
But for the grace of God go I
I must've been born a lucky guy
Heaven only knows how I've been blessed
With the gift of you love
And I look around and all I see
Is your happiness embracing me
Oh Lord I'd be lost
But for the grace of God
I look around and all I see
Is your happiness embracing me
Oh Lord I'd be lost
But for the grace of God
Oh Lord I'd be lost
Oh Lord I'd be lost
But for the grace of God
Oh Lord I'd be lost
But for the grace of God"
Keith Urban,Your Everything,"The first time I looked in your eyes I knew
That I would do anything for you
The first time you touched my face I felt
Like I've never felt with anyone else
I wana give back what you've givin' to me
And I wanna witness all of your dreams
Now that you've shown me who I really am
I wanna be more then just your man
I wanna be the wind that fills your sails
And be the hand that lifts your veil
And be the moon that moves your tide
The sun coming up in your eyes
Be the wheels that never rust
And be the spark that lights you up
All that you've been dreaming of and more
So much more, I wanna be your everything...
When you wake up, I'll be the first thing you see
And when it gets dark you can reach out for me
I'll cherish your words and I'll finish your thoughts
And I'll be your compass baby, when you get lost
I wanna be the wind that fills your sails
And be the hand that lifts your veil
And be the moon that moves your tide
The sun coming up in your eyes
Be the wheels that never rust
And be the spark that lights you up
All that you've been dreaming of and more
So much more, I wanna be your everything...
Be the wheels that never rust
And be the spark that lights you up
All that you've been dreaming of and more
So much more, I wanna be your everything...
I wanna be your everything"
Keith Urban,I Wanna Be Your Man Forever,"You're such a pretty little thing
I wanna put a wedding ring on your finger
Baby can't you see that we were meant to be together
Yeah the joinin' of our hearts is written in the stars
We've got a love made in heaven
So baby take my hand I wanna be your man forever
Well I can't think of anyone else it's true
All day long there's no one on my mind but you
And I have loved you since you were a little girl
You mean everything to me and you're all I'll ever need in this world
You're such a pretty little thing
I wanna put a wedding ring on your finger
Baby can't you see that we were meant to be together
Yeah the joinin' of our hearts is written in the stars
We got a love made in heaven
So baby take my hand I wanna be your man forever
Every time I look into your eyes I see
The one I want beside me for eternity
You could make me the happiest man alive
By settin' up a date and takin' my name for life
Ah you're such a pretty little thing
I wanna put a wedding ring on your finger
Baby can't you see that we were meant to be together
Yeah the joinin' of our hearts is written in the stars
We got a love made in heaven
So baby take my hand I wanna be your man forever
You're such a pretty little thing
I wanna put a wedding ring on your finger
Baby can't you see that we were meant to be together
Yeah the joinin' of our hearts is written in the stars
We got a love made in heaven
So baby take my hand I wanna be your man forever
Baby take my hand I wanna be your man forever"
Keith Urban,A Little Luck Of Our Own,"The cards are stacking up against us
These days our luck is running low
It's hard to explain but a little bit of rain
Seems to follow us wherever we go
Black cat sittin' on a ladder
Broken mirror on the wall
We're not a bit superstitious
No need to worry at all
'Cause when we can't roll a seven
And our last lucky penny is gone
This world can be tough
But I know when our love is this strong
We can make a little luck of our own, luck of our own
The storm is only temporary
But you and I are here to stay
Baby can't you see true love is all we need
So just throw that rabbit's foot away
'Cause when we can't roll a seven
And our last lucky penny is gone
This world can be tough
But I know when our love is this strong
We can make a little luck of our own
Oh we can make it baby
'Cause when we can't roll a seven
And our last lucky penny is gone
This world can be tough
But I know our love is this strong
We can make a little luck of our own
We can make a little luck of our own
Yeah, yeah
Oooh we can make it baby
Make a little luck of our own"
Keith Urban,You're The Only One,"I know it's gonna take some time
For you to trust this love of mine
I know he broke your heart in two
You've been betrayed and ... your afraid
That I will do the same to you
But you'll be safe here in my arms ... forever and a day
Though you don't believe me now ... I'll never walk away
You ... You know that I'll be there ... when tomorrow comes
( Your the only one )
I know you've heard this all before
( Your the only one )
Your the one that I adore
( Your the only one )
You make me shine just like the sun
( Your the only one )
You bring this heart of mine undone
( Your the only one )
For evry Lie you've ever heard
You can believe my every word... yes you can
Whatever heaven holds in store
Through good and bad ... I'll be your man
Stand beside you through it all
But you'll be safe here in my arms ... forever and a day
Though you don't believe me now ... I'll never walk away
And you ... you know that I'll be there ... when tomorrow comes
( Your the only one )
I know you've heard this all before
( Your the only one )
Your the one that I adore
( Your the only one )
You make me shine just like the sun
( Your the only one )
You bring this heart of mine undone
( Your the only one )
I know you've heard this all before
( Your the only one )
But your the one that I adore
( Your the only one )
You make me shine just like the sun
( Your the only one )
You bring this heart of mine undone
( Your the only one )
( Your the only one )
Make me shine just like the sun ... yes you do
( Your the only one )"
Keith Urban,If You Wanna Stay,"Go if you wana go, stay if you wana stay
My hearts not a game you can play with and out away
Baby tryin' to figure you out, could make a man go insane
So just go if you wana go, stay if you wana stay...
Dream what you want to dream, be who you gotta be
I never wana be the one who kept you from being free
But girl I gotta know what you want, 'cause I've takin' all I can take
So just go if you wana go, stay if you wana stay...
Every time you decide, to spread your wings and fly
You make the same mistake, and I can't take anymore goodbyes
So baby just go if you wana go, stay if you wana stay...
Every time you decide, to spread your wings and fly
You make the same mistake, and I can't take anymore goodbyes
So baby just go if you wana go, stay if you wana stay...
I don't wana lose everything our love has made
But I don't wana feel alone everytime you go away
So just go if you wana go, stay if you wana stay...
Mmmm baby just go if you wana go, stay if you wana stay..."
Keith Urban,Don't Shut Me Out,"Don't shut me out maybe baby
We should talk about it
'Cause you've got your doubts but maybe, baby
They might be unfounded
Have a little faith you'll make it through
I'd never hesitate to talk to you
If you tell me just what's weighing on your mind
Maybe it could help you sleep tonight
So don't shut me out
Don't be so proud don't ya know that
Before a fall it leaves ya
And it'll take you down baby that ain't
Where I wanna see ya
The sun'll rise tomorrow come what may
And you'll feel better than you do today
And in time you'll cry no more
I know 'cause my heart's been there before
And here I am when you need someone
My shoulder's yours to cry upon
And everybody now and then
Needs and understanding friend around
So don't shut me out
Don't shut me out maybe baby
We should talk about it
'Cause you've got your doubts but maybe, baby
They might be unfounded
Listen to your heart and clear your mind
And you will find the answer every time
Every road you travel on will lead
To where it is your heart's supposed to be
And here I am when you need someone
My shoulder is yours to cry upon
And everybody now and then
Needs an understandin' friend around
So don't shut me out, don't shut me out, don't shut me out"
Keith Urban,Out On My Own,"Your smiles they don't come easy
Like they used to come before
The awkwardness and boredom
Is scattered out across the floor
I can feel your love waxin' and wanin'
And a quick look in your eyes needs no explainin'
I'm out on my own
Livin' alone
I'm an old reluctant gypsy
I don't like campin' anymore
And the dreams and disappointments
Scatter out across the floor
I'm nervous on this train I feel it derailin'
And I can read the letters that nobody's mailin'
I'm out on my own
Livin' alone yeah
Somethin' deep inside of me
Must have died some time ago
I haven't called no place my home
Since nineteen-ninety-four
I'm out on my own
Thirty-somethin' single
And tired of runnin' everywhere
And I can wear a welcome out
When I ain't even there
I'm nervous on this train I feel it derailin'
And I can read the letters that nobody's mailin'
I'm out on my own
Livin' alone I'm livin' alone
And I got nowhere to go
Look at me I'm out on my own
I'm out on my own
But it's gonna be all right now
It's gonna be all right
It's gonna be all right
Oh yes I know it and I know and I know it's gonna be all right"
