Album,Song,Lyrics
Music Of The Sun,Pon De Replay,"[2x]
Come Mr. DJ song pon de replay
Come Mr. DJ won't you turn the music up
All the gyal pon the dancefloor wanting some more what
Come Mr. DJ won't you turn the music up
It goes 1 by 1 even 2 by 2
Everybody on the floor let me show you how we do
Let's go dip it low then you bring it up slow
Wind it up 1 time wind it back once more
Come, run, run, run, run
Everybody move run
Let me see you move and
Rock it 'til the grooves done
Shake it 'til the moon becomes the sun (sun)
Everybody in the club give me a run (run)
If you ready to move say it
One time for your mind say it
Well I'm ready for ya
Come let me show ya
You want to groove
I'mma show you how to move
Come come
[2x]
Come Mr. DJ song pon de replay
Come Mr. DJ won't you turn the music up
All the gyal pon the dancefloor wanting some more what
Come Mr. DJ won't you turn the music up
[2x]
Hey Mr.
Please Mr. DJ
Tell me if you hear me
Turn the music up
It goes 1 by 1 even 2 by 2
Everybody in the club gon' be rocking when I'm through
Let the bass from the speakers
Run through ya sneakers
Move both ya feet and run to the beat
Run, run, run, run
Everybody move run
Let me see you move and
Rock it 'til the grooves done
Shake it 'til the moon becomes the sun (sun)
Everybody in the club give me a run (run)
If you ready to move say it
One time for your mind say it
Well I'm ready for ya
Come let me show ya
You want to groove
I'mma show you how to move
[2x]
Come Mr. DJ song pon de replay
Come Mr. DJ won't you turn the music up
All the gyal pon the dancefloor wanting some more what
Come Mr. DJ won't you turn the music up
[2x]
Hey Mr.
Please Mr. DJ
Tell me if you hear me
Turn the music up
Turn the music up right now
OK everybody get down if you feel me
Put your hands up to the ceiling
[2x]
Everybody get down if you feel me
Put your hands up to the ceiling
Everybody get down if you feel me
Come and put your hands up to the ceiling
[2x]
Come Mr. DJ song pon de replay
Come Mr. DJ won't you turn the music up
All the gyal pon the dancefloor wanting some more what
Come Mr. DJ won't you turn the music up"
Music Of The Sun,Here I Go Again,"Na na na na na
Na na na na na
Na na na na na na na na na na na na na
Na na na na na
Na na na na na
Na na na na na oh na na na na na na na na
[Verse 1]
It's been a minute since I saw you boy
Must admit it's good to hear your voice
And I guess that I forgot just how you make me feel when your around
See you haven't lost your sense of style
And you still could melt me with your smile
Can't deny that I still got these feelin' deep inside
[Hook]
It's funny how things could change
But still remain the same
Isn't love just a crazy game
Baby here I go again
[Chorus]
I look into your eyes and then
My heart remembers when
And I realize I neva gotten over you
Everytime I hear your name
It's like the sun shined through the rain
And I realize it's happening
Baby here I go again
Here I Go Again
[Verse 2]
Still remember how you make me weak
How I fought to find the words to speak
I just cant excape the memories
I tried but I just cant break free
Thought I closed the door on what we had
But these feelings just keep comin back
Didn't think that you could make me loose control like that
[Hook]
Sweet lovin' is my ting
So you know mi got fi swing
That's why yuh request it again
Without a doubt yuh want to spend
And to experience it again
Because yuh love the way yuh felt back then
So make me light it up again
Reignite the flames again
'Cause you really miss 'dem days when we used to chill
Up on the hill watch the sun set in West Nigril
Girl yuh Bajan beauty it a gimme di chill
Not to mention the way you are within
[Chorus]"
Music Of The Sun,If It's Lovin' That You Want,"I want to let you know
That you don't have to go
Don't wonder no more
What I think about you
If it's loving that you want
Then you should make me your girl, your girl
If it's loving that you need
Baby come and share my world, share my world
If it's loving that you want
Then come and take a walk with me, walk with me
Cause, everything that you need, I got it right here baby, baby
Now it's obvious you need a friend to come hold you down
Be that one you share your everything when no one's around
Baby come tell me your secrets, and tell me all your dreams
'Cause I can see you need someone to trust
You can trust in me
Di di di di da da dey
So just call me whenever your lonely
Di di di di da da dey
I'll be your friend, I can be your homey
If it's loving that you want
Then you should make me your girl, your girl
If it's loving that you need
Baby come and share my world, share my world
If it's loving that you want
Then come and take a walk with me, walk with me
Cause, everything that you need, I got it right here baby, baby
It's been so long I've had this feeling
That we could be
Everything you've ever wanted baby
Your fantasy
I won't push too hard or break your heart
'Cause my love's sincere
I'm not like any other girl you know
So let me erase your fears
Di di di di da da dey
So just call me whenever your lonely
Di di di di da da dey
I'll be your friend, I can be your homey
If it's loving that you want
Then you should make me your girl, your girl
If it's loving that you need
Baby come and share my world, share my world
If it's loving that you want
Then come and take a walk with me, walk with me
Cause, everything that you need, I got it right here baby, baby
If it's loving that you want
Then you should make me your girl, your girl
If it's loving that you need
Baby come and share my world, share my world (I got what you need so come share my world)
If it's loving that you want
Then come and take a walk with me, walk with me
Cause, everything that you need, I got it right here baby, baby
Di di di di da da dey
So just call me whenever your lonely
Di di di di da da dey
I'll be your friend, I can be your homey
If it's loving that you want
Then you should make me your girl, your girl
If it's loving that you need
Baby come and share my world, share my world
If it's loving that you want
Then come and take a walk with me, walk with me
Cause, everything that you need, I got it right here baby, baby
I want to let you know
That you don't have to go
Don't wonder no more
What I think about you
What I think about you boy
I got what you need so come share my world oh"
Music Of The Sun,"You Don't Love Me (No, No, No)","[Chorus]
No no no
You don't love me and I know now
No no no
You don't love me so let me go now
(I can't let you go, can't let you go)
If you ask me, baby
I shoulda left you along time ago, no
[Verse 1]
Playas gonna play
a least thats what they say
Well I know that for myself now
(You know I love you)
You said you loved me babe
Then you played your game
A game that I know all to well now
Well I use to buy your lines
But it's time for me to sail now
[Chorus]
[Rap]
First you tellin me no
But please tell me yes
without some of this stress
Straight up tell me yes
Gimme the keys to ya chest
Ya chest will rise neva rest
As ya chest you got me feelin like i'm climbin on Mount Everest
Hey Rihanna 
Your lovin really put me to the test
But if you shoulda let me soon the answer will yes
Yes to this yes to that yes to whateva you suggest
So please say yes
No no no
[Verse 2]
Haters gonna hate
(let them hate)
I found out much to late
I think I know were a little hot now
The truth leads to the lies
The heart aint always right
And I see that love is blind now
Boy you use to have my trust
Without no trust there aint no us boy
[Chorus]
"
Music Of The Sun,"That La, La, La","Here we go
(Oh) LA LA LA LA LA LA Yeah
(Oh) LA LA LA LA LA LA Uh
(Oh) LA LA LA LA LA LA
Rihanna
Oh LA Oh LA Oh LA Oh LA
(Oh) LA LA LA LA LA LA (Uh Huh) Yeah
(Oh) LA LA LA LA LA LA (OhOhOhOh) Sing it
(Oh) LA LA LA LA LA LA Come on
Oh LA Oh LA Oh LA Oh LA Oh
[Verse 1]
You said we girls but all the while, you look at my
man with a funny smile. Now I don't look it might be me,
but ain't no need to bump so tightly.
That night we all hanging at the club. You tell mr. d.j.
wanna rub a dub. When I don't look you a chance to ask my
man to come and dance.
[Bridge:]
What me and he have got is solid as a rock, so take your shot.
Don't even waste your time. Cause a love like ours is hard to find.
(Oh Oh Oh Oh)
[Chorus:]
(OH) Cause He's got me singing that la la la
(OH) our love is strong yes it's keeping me fortified.
(OH) Oh yes he keep it rocking like la la la
(Sing) (Oh Oh Oh Oh) Ladies get it right, better get it right
(OH) He's got me singing that la la la
(OH) So fall back, don't be hit and you can't deny
(OH) Oh yes he keep it rocking like la la la
(Sing) (Oh Oh Oh Oh) Ladies get it right, better get it right
[Verse 2]
I hope you take this as a lesson learned. This ain't that
kind of party so just let it burn. The next time you see me
act like you know. I don't play those games, don't take me for a joke
[Bridge:]
What me and he have got is solid as a rock, so take your shot.
Don't even waste your time. Cause a love like ours is hard to find.
(Oh Oh Oh Oh)
[Chorus:]
(OH) Cause He's got me singing that la la la
(OH) our love is strong yes it's keeping me fortified.
(OH) Oh yes he keep it rocking like la la la
(Sing) (Oh Oh Oh Oh) Ladies get it right, better get it right
(OH) He's got me singing that la la la
(OH) So fall back, don't be hit and you can't deny
(OH) Oh yes he keep it rocking like la la la
(Sing) (Oh Oh Oh Oh) Ladies get it right, better get it right
Oh-Oh-Oh Oh Oh Yeah Rihanna
Here we go
we got, we got, what him and me, we got, We got
(OH) Cause He's got me singing that la la la
(OH) our love is strong yes it's keeping me fortified.
(OH) Oh yes he keep it rocking like la la la
(Sing) (Oh Oh Oh Oh) Ladies get it right, better get it right
You better get it right
We got it, we got it,we we we got it
(he's the only one I need)
We got it, we got it,we we we got it
(he's the only one I need)
We got it, we got it,we we we got it
(he's the only one I need)
[Chorus:]
(OH) Cause He's got me singing that la la la
(OH) our love is strong yes it's keeping me fortified.
(OH) Oh yes he keep it rocking like la la la
(Sing) (Oh Oh Oh Oh) Ladies get it right, better get it right
(OH) He's got me singing that la la la
(OH) So fall back, don't be hit and you can't deny
(OH) Oh yes he keep it rocking like la la la
(Sing) (Oh Oh Oh Oh) Ladies get it right, better get it right
[Repeat]"
Music Of The Sun,The Last Time,"Once was a time you and I
Made a promise till the day we die
I trusted each and every word
Never thinking that I'd get burned
Silly me I believed in your fairy tales
Boy I thought that I knew you so very well
But you walked on my pride all the tears that I cried
And it cuts like a knife
[Hook""]
It's the last time you're ever gonna kiss these lips
Or ever will deceive these eyes
Believe me when I tell you this
Baby boy it's the last time
I'm ever gonna cry these tears
I'm never gonna hear your lies
So listen while I make it clear
In case you didn't hear
This time's the last time
There's no time
To give it one more try
There's only time to say goodbye
Fooled me once shame on you
Fooled me twice now this song is through
The things you said I can never forget
The things you did fill my heart with regret
But I'm still standing tall as I walk away
And you know that it's true when you hear me say
It's over, it's through,
Ain't a thing you can do boy, its' sad but it's true
[Hook:]
It's the last time you're ever gonna kiss these lips
Or ever will deceive these eyes
Believe me when I tell you this
Baby boy it's the last time
I'm ever gonna cry these tears
I'm never gonna hear your lies
So listen while I make it clear
In case you didn't hear
This time's the last time
There's no time
To give it one more try
There's only time to say goodbye
Good Bye No Baby
Silly me I believed in your fairy tales
Boy I thought that I knew you so very well
But you walked on my pride all the tears that I cried
And it cuts... like a knife
[Hook:]
It's the last time you're ever gonna kiss these lips (ever gonna kiss these lips)
Or ever will deceive these eyes
Believe me when I tell you this
Baby boy it's the last time
I'm ever gonna cry these tears
I'm never gonna hear your lies (never gonna hear your lies)
So listen while I make it clear
In case you didn't hear
This time's the last time
There's no time
To give it one more try
It's over, it's through
Ain't a thing you can do but wonder why
There's only time to say goodbye
Baby goodbye
Never gonna, never gonna cry no more
Goodbye, goodbye"
Music Of The Sun,Willing To Wait,"[verse 1]
Baby slow down just here me out
Theres something i gotta let you know
No need push no need to rush
You know you had me from hello
[hook 1]
When it comes to my heart i dont play
Baby boy cant you see the stop sign
Your movin much to fast
Baby love doesnt grow in a day
Just get it right the first time
Make this feeling last
[chorus]
Baby if your willing to wait
We just take our time
Dont you know that its getting late
And i know whats on your mind
I know this feeling is crazy
Its mutual baby
But we dont have to rush something real
Baby if your willing to wait
We can just take our time
[verse 2]
Boy cant you see i'm not tryna be
The girl who gets taken for a ride
If you take your time and you will find
Theres so much more to me inside
And just say theres no need to delay
Your telling me to trust you
Boy you know i want to baby
But my heart gets so recently break
Before we take this very far show me who you really are
[chorus out]"
Music Of The Sun,Music Of The Sun,"Oh, Oh, Oh, Oh, Oh Oh,
Oh, Oh, Oh, Oh yeah
Listen, closely hear the music playing
Let it take you to places far away and
Relax your senses just do what you want to do
No need for questions
It's only for you
And it's so amazing
Oh how you can't escape it
The movement takes you
And never let's you go
Can't you feel the music in the air
Close your eyes let the rhythm take you there
Doesn't matter who you are or where you're from
Come and dance to the music of the sun
Forget about your troubles it's alright
Let them go till we see the morning light
Feel the beat as our bodies move as one
Come and dance to the music of the sun (the sun)
Come and dance to the music of the sun the sun (the sun yeah)
So real
So right
Can't explain the feeling
Like the sunlight brings to life new meaning
No need for stress, (no need for stress)
Save that for another day
No second guessing
Just trust me when I say
And it's so amazing
Oh how you can't escape it
the moment takes you it never lets you Go!
Can't you feel the music in the air
Close your eyes let the rhythm take you there (let the rythm take you there)
Doesn't matter who you are or where you're from
Come and dance to the music of the sun (music of the sun)
Forget about your troubles it's alright
Let them go till we see the morning light (see the morning light)
Feel the beat as our bodies move as one
Come and dance to the music of the sun (come and dance with the music of the sun)
Come and dance to the music of the sun the sun (of the sun yeah)
And it's so amazing
Oh how you cant escape it
The moment takes you
And never let's you gooooooo
Can't you feel the music in the air
Close your eyes let the rhythm take you there (let the rythm take you there)
Doesn't matter who you are or where you're from
Come and dance to the music of the sun
Forget about your troubles it's alright (it's alright, it's alright)
Let them go till we see the morning light
Feel the beat as our bodies move as one
Come and dance to the music of the sun (come and dance with the music of the sun)
Come and dance to the music of the sun the sun
Let it take you far
Come and dance to the music of the sun
It'll take you far away
Cant you feel the music in the air
Close your eyes let the rhythm take you there
Doesn't matter who you are or where you're from
Come and dance to the music of the sun"
Music Of The Sun,Let Me,"Boy let me, let me
Why don't you let me, let me
Boy let me, let me
Let me do those things for you
Boy let me, let me
Why don't you let me, let me
Boy let me, let me
Let me do those things for you
I been watching you from way 'cross the room won't cha come and rock it out with me
You catchin' eyes like you catchin' ties
Over here's where you wanna be
It's so familiar, like we met somewhere before
And I'm tired of waitin' baby while you still obey me 
Want me come and whisper in your ear all the things you love to hear
I wanna come play nice with you
Cuz if I get you alone I don't know what I might do
And I think that it's about time
We leave cus boy your my type
You got me so excited
Baby let's go dance away
So let me come and get ya right
Boy let me fill your appetite
Won't you let me know what it is you like
And I'll do those sexy things for you
I'll let you call me beautiful
Let me give it to you once you gon want some more
Boy let me, let me, let me
Let me do those things for you
Boy let me, let me
Why don't you let me, let me
Boy let me, let me
Let me do those things for you
I'm walkin over to you meet me by the door 
I'm the girl in the 7 inch heel
I got my keys in my hand
Maybe s's on my arms so guess you know what it is
So act like you know
Cause a girl just wanna have fun
Knock it out the park for me
Need ya to hit a home run boy
Want me come and whisper in your ear all the things you love to hear
I wanna come play nice with you
Cuz if I get you alone I don't know what I might do
And I think that it's about time
We leave cus boy your my type
You got me so excited
Baby let's go dance away
So let me come and get ya right
Boy let me fill your appetite
Won't you let me know what it is you like
And I'll do those sexy things for you
I'll let you call me beautiful
Let me give it to you once you gon want some more
Boy let me, let me, let me
Let me do those things for you
Let too much to talk about it
Not into me boy I doubt it
You are gonna scream and shout it
Make you hot how I move my body
So crazy, so amazing
Catch you up and make you chase it
Let me let me baby
Let me do those things for you
Let me baby, baby (yayaya oohh)
So wont cha let me
So let me come and get ya right
Boy let me fill ya appetite
Won't you let me know what it is you like
And I'll do those sexy things for you
I'll let you call me beautiful
Let me give it to you once you gon want some more
Boy let me, let me, let me
Let me do those things for you
Boy let me, let me
Why don't you let me, let me
Boy let me, let me
Let me do those things for you
Boy let me, let me
Why don't you let me, let me
Boy let me, let me
Let me do those things for you"
Music Of The Sun,Rush,"[Kardinal] 
De gal them rush to feel the ill touch 
Gal them ball and gal them a scream 
De think ita love but a lust, 
Thats why a bad gal beside is a must for I bust 
Shes the angel of me consious yo yo yo 
[Rihanna] 
Never thought that I could feel somethin so strong 
I wanna hold on to this moment before its gone 
I wanna hold your body close its callin to me 
And when i look into your eyes Im likin what I see 
Boy dont hold back from me 
Just give me everything you got 
I wonder I can keep 
I know your gunna keep it hot 
[Hook]
I catch a rush boy whenever we touch i go crazy 
Im feelin you baby 
I dream like this boy whenever we kiss i cant take it 
U know i cant fake it 
[Kardinal] 
Yo yo yo 
Well im back with the boys and i knowin dat 
Dont watch my face my gal you know im coming back 
Most of mea gal them slide off easy like a thunder clap 
When I see you from the back you know me need all a dat yo yo yo 
[Rihanna] 
Dont even know your name 
But this feels so right 
Its like i known you boy for all of my life 
Dont need to say a word 
We both understand 
And my eyes are tellin you 
Catch me if you can 
Im fallin faster now 
You know u got me where u want 
To late i cant slow down 
No way we're ever gunna stop 
[Hook]
I catch a rush boy whenever we touch i go crazy 
Im feelin you baby 
I dream like this boy whenever we kiss i cant take it 
U know i cant fake it 
[background] no i cant take it 
No i cant take it 
No no 
[Kardinal] 
My girl turn it around and cut it out 
And come a little close so you feel what im bout here 
[background]
No i cant take it 
No i cant take it 
No no 
[Kardinal] 
My girl turn it around bring it near 
Let me show you a thing dat a done ya career 
Im fallin faster now 
You know u got me where u want 
To late i cant slow down 
No way we're ever gunna stop 
[Hook x2]
I catch a rush boy whenever we touch i go crazy 
Im feelin you baby 
I dream like this boy whenever we kiss i cant take it 
U know i cant fake it
"
