Artist,Album,Year,Blurb,Word1,Word2,Word3,Love
Kanye,The College Dropout,2004,,,,,
Kanye,Late Registration,2005,,,,,
Kanye,Graduation,2007,,,,,
Kanye,808s & Heartbreaks,2008,,,,,
Kanye,My Beautiful Dark Twisted Fantasy,2010,,,,,
Kanye,Yeezus,2013,,,,,
Kanye,The Life of Pablo,2016,,,,,
Coldplay,Parachutes,2000,Coldplay's debut album.,oh (29.07%),yeah (22.09%),never (10.47%),love (rank 95)
Coldplay,A Rush of Blood to the Head,2002,,,,,
Coldplay,X&Y,2005,,,,,
Coldplay,Viva La Vida,2008,,,,,
Coldplay,Mylo Xyloto,2011,,,,,
Coldplay,Ghost Stories,2014,,,,,
Coldplay,A Head Full of Dreams,2015,,,,,
